latitude,longitude,filename,sst,chlor_a,Kd_490
-29.083408,31.97368,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.3666093,0.2366
-29.083408,31.9949,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.1418722,0.2232
-29.083408,32.01612,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.2743945,0.2312
-29.072987,31.719057,AQUA_MODIS.20200127T122501.L2.OC.nc,,7.5871615,0.537
-29.072987,31.740276,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.7681723,0.471
-29.072987,31.761496,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.8038635,0.39839998
-29.072987,31.782713,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.0809474,0.34719998
-29.072987,31.803932,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.5621614,0.31219998
-29.072987,31.825151,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.3746624,0.29999998
-29.072987,31.846369,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.029143,0.2778
-29.072987,31.867588,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.6618884,0.2548
-29.072987,31.888807,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.6346095,0.253
-29.072987,31.910025,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.5051517,0.2452
-29.072987,31.931244,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.662977,0.2548
-29.072987,31.952463,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.464553,0.2426
-29.072987,31.97368,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.7676148,0.26139998
-29.072987,31.9949,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.6243458,0.25239998
-29.072987,32.01612,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.650275,0.254
-29.062567,31.67662,AQUA_MODIS.20200127T122501.L2.OC.nc,,9.375792,0.6956
-29.062567,31.69784,AQUA_MODIS.20200127T122501.L2.OC.nc,,8.374259,0.6042
-29.062567,31.719057,AQUA_MODIS.20200127T122501.L2.OC.nc,,7.5226746,0.5316
-29.062567,31.740276,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.5910115,0.4572
-29.062567,31.761496,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.798287,0.398
-29.062567,31.782713,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.249216,0.359
-29.062567,31.803932,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.657636,0.3186
-29.062567,31.825151,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.602739,0.315
-29.062567,31.846369,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.2751684,0.2936
-29.062567,31.867588,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.364353,0.2994
-29.062567,31.888807,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.026675,0.2776
-29.062567,31.910025,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.9767344,0.2744
-29.062567,31.931244,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.8732042,0.268
-29.062567,31.952463,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.8325403,0.2654
-29.062567,31.97368,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.8613098,0.2672
-29.062567,31.9949,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.075617,0.28079998
-29.062567,32.01612,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.048184,0.27899998
-29.062567,32.03734,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.2426257,0.2914
-29.052147,31.655401,AQUA_MODIS.20200127T122501.L2.OC.nc,,9.798066,0.736
-29.052147,31.67662,AQUA_MODIS.20200127T122501.L2.OC.nc,,8.949401,0.6558
-29.052147,31.69784,AQUA_MODIS.20200127T122501.L2.OC.nc,,8.521207,0.61719996
-29.052147,31.719057,AQUA_MODIS.20200127T122501.L2.OC.nc,,7.8114996,0.55579996
-29.052147,31.740276,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.832566,0.47599998
-29.052147,31.761496,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.7701125,0.396
-29.052147,31.782713,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.4062924,0.37
-29.052147,31.803932,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.2573676,0.3594
-29.052147,31.825151,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.7985363,0.32799998
-29.052147,31.846369,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.551713,0.3116
-29.052147,31.867588,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.6352324,0.3172
-29.052147,31.888807,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.6354294,0.3172
-29.052147,31.910025,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.1186843,0.2834
-29.052147,31.931244,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.2775264,0.2936
-29.052147,31.952463,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.197967,0.2886
-29.052147,31.97368,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.8567963,0.2668
-29.052147,31.9949,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.1553044,0.28579998
-29.052147,32.01612,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.1497793,0.2854
-29.052147,32.03734,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.502806,0.3084
-29.041725,31.634182,AQUA_MODIS.20200127T122501.L2.OC.nc,,10.043938,0.76019996
