latitude,longitude,filename,sst,chlor_a,Kd_490
-43.984962,-11.926893,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.054848496,0.0288
-43.984962,-11.902775,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.05998179,0.030599998
-43.984962,-11.878656,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.057959557,0.029
-43.97442,-11.951012,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.059299383,0.0338
-43.97442,-11.926893,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.060582336,0.0312
-43.97442,-11.902775,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.05738402,0.03
-43.97442,-11.878656,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.060919143,0.030199999
-43.96388,-11.97513,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.064510815,0.0324
-43.96388,-11.951012,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.05634063,0.0286
-43.96388,-11.926893,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.059070405,0.029199999
-43.96388,-11.902775,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.058768105,0.03
-43.96388,-11.878656,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.057882115,0.0296
-43.95334,-11.97513,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.056710307,0.027999999
-43.95334,-11.951012,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.05838317,0.0296
-43.95334,-11.926893,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.05654773,0.029199999
-43.95334,-11.902775,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.05873759,0.029
-43.95334,-11.878656,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.057772655,0.027999999
-43.942795,-12.023367,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.05326862,0.024799999
-43.942795,-11.9992485,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.05648594,0.0274
-43.942795,-11.97513,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.055682607,0.0276
-43.942795,-11.951012,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.057968102,0.0286
-43.942795,-11.926893,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.05587287,0.028199999
-43.942795,-11.902775,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.05840827,0.0284
-43.942795,-11.878656,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.058608606,0.0278
-43.932255,-12.047483,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.05267204,0.026999999
-43.932255,-12.023367,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.05648284,0.0276
-43.932255,-11.9992485,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.057761747,0.0278
-43.932255,-11.97513,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.059786234,0.0224
-43.932255,-11.951012,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.059357587,0.0286
-43.932255,-11.926893,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.05769491,0.028199999
-43.932255,-11.902775,AQUA_MODIS.20200127T154000.L2.OC.nc,,0.058109313,0.028199999
