latitude,longitude,filename,sst,chlor_a,Kd_490
-50.262615,15.229508,AQUA_MODIS.20200127T140000.L2.OC.nc,,0.11267698,0.046
-50.262615,15.255254,AQUA_MODIS.20200127T140000.L2.OC.nc,,0.107440665,0.043399997
-50.252014,15.152274,AQUA_MODIS.20200127T140000.L2.OC.nc,,0.11947592,0.0468
-50.252014,15.229508,AQUA_MODIS.20200127T140000.L2.OC.nc,,0.12124752,0.0486
-50.252014,15.255254,AQUA_MODIS.20200127T140000.L2.OC.nc,,0.11811844,0.045399997
-50.241417,15.229508,AQUA_MODIS.20200127T140000.L2.OC.nc,,0.12209757,0.0462
-50.241417,15.255254,AQUA_MODIS.20200127T140000.L2.OC.nc,,0.12276436,0.0466
-49.945274,20.101612,AQUA_MODIS.20200127T135500.L2.OC.nc,,0.4156986,0.0894
2.9374616,1.127264,AQUA_MODIS.20200127T141001.L2.OC.nc,,0.039101098,0.032199997
2.999334,0.99814415,AQUA_MODIS.20200127T141001.L2.OC.nc,,0.03711143,0.0208
3.03027,0.99814415,AQUA_MODIS.20200127T141001.L2.OC.nc,,0.04143216,0.0252
3.0405822,0.99814415,AQUA_MODIS.20200127T141001.L2.OC.nc,,0.041999906,0.0284
3.0405822,1.0165901,AQUA_MODIS.20200127T141001.L2.OC.nc,,0.04497922,0.030399999
3.0508943,0.99814415,AQUA_MODIS.20200127T141001.L2.OC.nc,,0.048720766,0.0326
32.898026,-8.885567,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.11257097,0.038399998
32.90846,-8.885567,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.110936925,0.030399999
32.90846,-8.864464,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.116157435,0.0328
32.91889,-8.885567,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.109123394,0.025799999
32.91889,-8.864464,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.1146041,0.0298
32.929325,-8.885567,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.24778324,0.064399995
32.929325,-8.864464,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.11465747,0.0284
32.929325,-8.843361,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.11604281,0.034199998
32.93976,-8.864464,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.22514684,0.0614
32.93976,-8.843361,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.108896494,0.0324
32.950188,-8.843361,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.13805403,0.0382
32.950188,-8.822258,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.11763624,0.0354
32.960625,-8.843361,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.16224548,0.0266
32.960625,-8.822258,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.11767597,0.0334
32.960625,-8.801153,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.120142385,0.0374
32.971054,-8.843361,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.28746137,0.073
32.971054,-8.822258,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.122686855,0.0336
32.971054,-8.801153,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.11837002,0.036399998
32.981487,-8.822258,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.16644052,0.049999997
32.981487,-8.801153,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.11443119,0.036
32.981487,-8.78005,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.115204185,0.036199998
32.99192,-8.822258,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.1487444,0.0446
32.99192,-8.801153,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.116528936,0.0358
32.99192,-8.78005,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.12142614,0.036599997
32.99192,-8.758947,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.12588273,0.0382
33.002354,-8.822258,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.13002369,0.0418
33.002354,-8.801153,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.120548345,0.038399998
33.002354,-8.78005,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.1216545,0.038599998
33.002354,-8.758947,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.12718703,0.039
33.012787,-8.801153,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.119866095,0.038799997
33.012787,-8.78005,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.11910602,0.038399998
33.012787,-8.758947,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.12240924,0.0376
33.012787,-8.737844,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.12717468,0.039
33.02322,-8.801153,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.12606232,0.0404
33.02322,-8.78005,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.11989081,0.0382
33.02322,-8.758947,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.119616844,0.036599997
33.02322,-8.737844,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.122811474,0.0358
33.02322,-8.716742,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.113561586,0.034399997
33.033653,-8.843361,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.09746695,0.0186
33.033653,-8.801153,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.14228915,0.0464
33.033653,-8.78005,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.13040915,0.0416
33.033653,-8.758947,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.121992946,0.037
33.033653,-8.737844,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.12209317,0.0356
33.033653,-8.716742,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.11572733,0.031999998
33.044083,-8.864464,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.13874239,0.040999997
33.044083,-8.843361,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.11626918,0.0354
33.044083,-8.822258,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.12019412,0.0376
33.044083,-8.801153,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.1440528,0.0482
33.044083,-8.78005,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.13203079,0.040799998
33.044083,-8.758947,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.11710408,0.0352
33.044083,-8.737844,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.12081738,0.0346
33.044083,-8.716742,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.11767713,0.039
33.044083,-8.695639,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.14736702,0.053
33.05452,-8.864464,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.10760491,0.0348
33.05452,-8.843361,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.115907356,0.035
33.05452,-8.822258,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.116062015,0.036199998
33.05452,-8.801153,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.10591586,0.030199999
33.05452,-8.78005,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.12496922,0.038599998
33.05452,-8.758947,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.13799898,0.033999998
33.05452,-8.737844,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.1330597,0.0394
33.05452,-8.695639,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.120644294,0.042999998
33.05452,-8.674536,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.1258142,0.0374
33.06495,-8.864464,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.11360795,0.0368
33.06495,-8.843361,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.12174645,0.036599997
33.06495,-8.822258,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.12689812,0.0376
33.06495,-8.801153,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.13713543,0.034199998
33.06495,-8.78005,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.14062616,0.0356
33.075382,-8.864464,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.1239625,0.040999997
33.075382,-8.843361,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.12243082,0.0374
33.075382,-8.822258,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.13126723,0.0352
33.075382,-8.674536,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.2158896,0.065799996
33.075382,-8.653431,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.09477754,0.029199999
33.085815,-8.864464,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.123938754,0.0374
33.085815,-8.843361,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.1417398,0.0354
33.085815,-8.822258,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.15054221,0.032199997
33.085815,-8.653431,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.14212647,0.047399998
33.085815,-8.632328,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.090622954,0.029199999
33.09625,-8.864464,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.113942295,0.0346
33.09625,-8.632328,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.113464184,0.0378
33.10668,-8.864464,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.11174115,0.0348
33.10668,-8.843361,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.10851625,0.0336
33.10668,-8.611225,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.4106122,0.085
33.117115,-8.864464,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.11051537,0.035
33.117115,-8.843361,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.10893521,0.032199997
33.117115,-8.632328,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.1800287,0.051799998
33.117115,-8.611225,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.10358493,0.0334
33.117115,-8.590122,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.090196975,0.031999998
33.12755,-8.864464,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.11247528,0.036399998
33.12755,-8.843361,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.10538169,0.031
33.12755,-8.590122,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.17748016,0.0576
33.13798,-8.864464,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.112702094,0.036
33.13798,-8.843361,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.10883311,0.0352
33.13798,-8.822258,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.097202316,0.0286
33.13798,-8.569019,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.10757178,0.039
33.148415,-8.864464,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.112164386,0.037
33.148415,-8.843361,AQUA_MODIS.20200127T142001.L2.OC.nc,,0.1124085,0.0356
